source_coord_0,source_coord_1,source_coord_2,target_coord_0,target_coord_1,target_coord_2,num_voxels,path_length_mm,direct_length_mm,mean_diameter_slicing,median_diameter_slicing,diameter_profile_slicing,diameter_profile_start_coord,diameter_profile_end_coord,edge_position
282,279,281,345,195,234,91,50.63274540592373,44.263143500218135,2.1782285657561826,2.176565182160185,"[2.3085959999999996, 2.3085959999999996, 2.433473852384693, 2.176565182160185, 2.774587084110354, 2.774587084110354, 2.3085959999999996, 2.774587084110354, 3.0781279999999995, 3.0781279999999995, 2.433473852384693, 3.0781279999999995, 2.433473852384693, 2.774587084110354, 2.433473852384693, 2.774587084110354, 2.433473852384693, 2.176565182160185, 2.774587084110354, 3.0781279999999995, 2.433473852384693, 2.774587084110354, 2.433473852384693, 2.433473852384693, 2.433473852384693, 2.3085959999999996, 2.3085959999999996, 2.433473852384693, 2.774587084110354, 2.433473852384693, 2.433473852384693, 2.774587084110354, 2.774587084110354, 2.774587084110354, 2.3085959999999996, 2.176565182160185, 2.3085959999999996, 2.433473852384693, 2.3085959999999996, 2.3085959999999996, 2.176565182160185, 2.3085959999999996, 2.774587084110354, 2.176565182160185, 2.176565182160185, 2.433473852384693, 2.176565182160185, 2.176565182160185, 2.176565182160185, 1.5390639999999998, 2.176565182160185, 2.3085959999999996, 2.3085959999999996, 2.176565182160185, 1.5390639999999998, 2.176565182160185, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.7207258628613677, 2.176565182160185, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 2.176565182160185, 1.5390639999999998, 1.7207258628613677, 2.176565182160185, 1.5390639999999998, 2.176565182160185, 1.7207258628613677, 1.7207258628613677, 1.7207258628613677, 1.5390639999999998, 1.5390639999999998, 1.7207258628613677, 1.7207258628613677, 2.176565182160185, 1.7207258628613677, 1.7207258628613677, 1.7207258628613677, 1.7207258628613677, 1.7207258628613677, 2.176565182160185, 2.176565182160185, 2.3085959999999996, 1.7207258628613677, 1.7207258628613677, 1.5390639999999998]","(282, 279, 281)","(345, 195, 234)",112
282,279,281,389,206,194,156,80.88298537523438,60.03705993537934,1.5626817294787263,1.5390639999999998,"[2.3085959999999996, 2.3085959999999996, 2.3085959999999996, 1.5390639999999998, 1.5390639999999998, 2.176565182160185, 2.3085959999999996, 1.5390639999999998, 2.176565182160185, 2.176565182160185, 1.7207258628613677, 2.176565182160185, 2.176565182160185, 1.7207258628613677, 2.176565182160185, 2.176565182160185, 1.7207258628613677, 2.176565182160185, 2.176565182160185, 2.176565182160185, 1.5390639999999998, 2.176565182160185, 2.176565182160185, 1.5390639999999998, 2.176565182160185, 1.5390639999999998, 2.176565182160185, 1.7207258628613677, 2.176565182160185, 1.5390639999999998, 2.3085959999999996, 1.7207258628613677, 1.7207258628613677, 1.5390639999999998, 1.7207258628613677, 2.176565182160185, 1.7207258628613677, 2.3085959999999996, 1.7207258628613677, 1.7207258628613677, 1.5390639999999998, 2.176565182160185, 2.3085959999999996, 1.7207258628613677, 2.3085959999999996, 2.3085959999999996, 2.3085959999999996, 2.3085959999999996, 2.3085959999999996, 1.7207258628613677, 1.5390639999999998, 1.5390639999999998, 1.7207258628613677, 2.433473852384693, 1.7207258628613677, 2.3085959999999996, 1.5390639999999998, 1.7207258628613677, 1.7207258628613677, 1.7207258628613677, 1.7207258628613677, 2.3085959999999996, 1.5390639999999998, 1.7207258628613677, 1.7207258628613677, 1.7207258628613677, 1.5390639999999998, 1.5390639999999998, 1.7207258628613677, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.7207258628613677, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.0882825910800924, 1.5390639999999998, 1.0882825910800924, 1.0882825910800924, 1.5390639999999998, 1.5390639999999998, 1.0882825910800924, 1.5390639999999998, 1.5390639999999998, 1.0882825910800924, 1.5390639999999998, 1.5390639999999998, 1.0882825910800924, 1.0882825910800924, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.5390639999999998, 1.5390639999999998, 1.0882825910800924, 1.0882825910800924, 0.7695319999999999, 0.7695319999999999, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 0.7695319999999999, 0.7695319999999999, 1.0882825910800924, 0.7695319999999999, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 0.7695319999999999, 0.7695319999999999, 1.5390639999999998, 1.0882825910800924, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999]","(282, 279, 281)","(389, 206, 194)",111
345,195,234,342,155,199,44,23.59058892972162,20.483143681049153,1.0611180629810522,0.7695319999999999,"[1.5390639999999998, 1.7207258628613677, 1.7207258628613677, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.7207258628613677, 1.7207258628613677, 1.5390639999999998, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 1.5390639999999998, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999]","(345, 195, 234)","(342, 155, 199)",1122
345,195,234,349,195,229,6,2.805917113130185,2.463704500340087,1.0040375303600306,0.7695319999999999,"[2.176565182160185, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999]","(345, 195, 234)","(349, 195, 229)",1123
271,284,282,282,279,281,12,5.433263704210278,4.665039827175326,3.0776955697435002,3.0781279999999995,"[2.3085959999999996, 3.0781279999999995, 3.0781279999999995, 3.0781279999999995, 3.0781279999999995, 2.774587084110354, 3.264847773240277, 2.774587084110354, 3.172861718292809, 3.4414517257227355, 3.4414517257227355, 3.4414517257227355]","(282, 279, 281)","(271, 284, 282)",11
271,284,282,310,314,241,55,29.524070471191745,24.643053306137045,2.420190331711252,2.3085959999999996,"[3.8476599999999994, 3.264847773240277, 3.4414517257227355, 3.172861718292809, 3.0781279999999995, 3.172861718292809, 2.774587084110354, 3.0781279999999995, 2.774587084110354, 2.774587084110354, 2.774587084110354, 2.774587084110354, 2.774587084110354, 2.3085959999999996, 2.774587084110354, 2.774587084110354, 2.433473852384693, 2.3085959999999996, 2.176565182160185, 2.433473852384693, 2.3085959999999996, 2.433473852384693, 2.433473852384693, 2.3085959999999996, 2.3085959999999996, 2.176565182160185, 2.176565182160185, 2.433473852384693, 2.3085959999999996, 2.3085959999999996, 2.3085959999999996, 2.3085959999999996, 2.176565182160185, 2.3085959999999996, 2.3085959999999996, 2.3085959999999996, 2.3085959999999996, 2.176565182160185, 1.7207258628613677, 2.176565182160185, 2.3085959999999996, 2.176565182160185, 2.433473852384693, 1.7207258628613677, 1.7207258628613677, 1.7207258628613677, 2.176565182160185, 2.3085959999999996, 2.176565182160185, 1.5390639999999998, 1.7207258628613677, 1.7207258628613677, 2.433473852384693, 2.433473852384693, 2.3085959999999996]","(271, 284, 282)","(310, 314, 241)",12
310,314,241,354,313,208,76,37.53393621517711,21.16562758369465,1.1218767841537651,1.0882825910800924,"[0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 1.0882825910800924, 1.0882825910800924, 0.7695319999999999, 1.0882825910800924, 0.7695319999999999, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 0.7695319999999999, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.5390639999999998, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.5390639999999998, 0.7695319999999999, 1.0882825910800924, 1.0882825910800924, 1.5390639999999998, 1.0882825910800924, 1.5390639999999998, 1.0882825910800924, 1.0882825910800924, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.0882825910800924, 1.5390639999999998, 1.5390639999999998, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.5390639999999998, 1.0882825910800924, 1.0882825910800924, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 1.7207258628613677, 1.7207258628613677, 2.176565182160185, 2.3085959999999996]","(354, 313, 208)","(310, 314, 241)",122
310,314,241,316,340,218,38,18.328026974570825,13.55447120223419,1.0252478278231967,0.7695319999999999,"[0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 1.0882825910800924, 1.0882825910800924, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 1.0882825910800924, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 0.7695319999999999, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 1.5390639999999998, 0.7695319999999999, 1.0882825910800924, 1.0882825910800924, 1.0882825910800924, 0.7695319999999999, 1.5390639999999998, 1.5390639999999998, 1.5390639999999998, 2.176565182160185, 2.176565182160185]","(316, 340, 218)","(310, 314, 241)",123
257,283,281,271,284,282,15,7.187980556315417,5.414137530732664,3.1978860637436015,3.0781279999999995,"[3.4414517257227355, 3.8476599999999994, 3.172861718292809, 3.264847773240277, 3.0781279999999995, 3.8476599999999994, 3.8476599999999994, 3.0781279999999995, 2.774587084110354, 3.0781279999999995, 3.0781279999999995, 3.172861718292809, 3.0781279999999995, 2.774587084110354, 2.433473852384693]","(271, 284, 282)","(257, 283, 281)",1
