node_coord_0,node_coord_1,node_coord_2,averaged_inflow_angle,averaged_angle_A,averaged_angle_B,averaged_angle_C,std_inflow_angle,std_angle_A,std_angle_B,std_angle_C,depth_measurements,num_measurements
354,313,208,,,,,,,,,,
282,279,281,7.117293742162965,154.275611599733,59.9370352418221,145.78735315844492,3.1638491049056543,7.718417827387346,15.327862757455526,8.554054182794792,"[{'depth': 2.0, 'inflow_angle': 8.918116445272739, 'angle_A': 134.83886264269333, 'angle_B': 90.53586290226025, 'angle_C': 134.62527445504645}, {'depth': 2.5, 'inflow_angle': 5.3916960288106655, 'angle_A': 144.59274744250712, 'angle_B': 82.61269665355, 'angle_C': 132.7945559039429}, {'depth': 3.0, 'inflow_angle': 1.9335467392534036, 'angle_A': 149.79120210758808, 'angle_B': 70.88878959100354, 'angle_C': 139.3200083014084}, {'depth': 3.5, 'inflow_angle': 0.2879621864794322, 'angle_A': 154.7126514625517, 'angle_B': 67.65623680381876, 'angle_C': 137.63111173362958}, {'depth': 4.0, 'inflow_angle': 7.046988311076517, 'angle_A': 157.80693395808922, 'angle_B': 57.77247552777638, 'angle_C': 144.42059051413443}, {'depth': 4.5, 'inflow_angle': 7.58541783635907, 'angle_A': 158.10829322677483, 'angle_B': 57.195854522604485, 'angle_C': 144.6958522506207}, {'depth': 5.0, 'inflow_angle': 8.359702935931422, 'angle_A': 160.85821592379327, 'angle_B': 51.467654555826606, 'angle_C': 147.67412952038015}, {'depth': 5.5, 'inflow_angle': 8.71171322072459, 'angle_A': 158.6517948139329, 'angle_B': 46.56795442503526, 'angle_C': 154.78025076103185}, {'depth': 6.0, 'inflow_angle': 9.370934112968317, 'angle_A': 158.72300897601463, 'angle_B': 46.649272167029444, 'angle_C': 154.62771885695597}, {'depth': 6.5, 'inflow_angle': 10.033435739450908, 'angle_A': 159.4874416467658, 'angle_B': 45.69994667409649, 'angle_C': 154.81261167913772}, {'depth': 7.0, 'inflow_angle': 10.650717607465559, 'angle_A': 159.46057539635214, 'angle_B': 42.26064383704186, 'angle_C': 158.278780766606}]",11.0
345,195,234,2.847661628760134,130.2024770811075,81.51923365926118,148.27828925963138,1.4715995096669465,4.7838923064544066,4.502219442282245,3.744686039823415,"[{'depth': 2.0, 'inflow_angle': 3.3913840901839785, 'angle_C': 154.31615945580873, 'angle_B': 90.19839010028403, 'angle_A': 115.48545044390725}, {'depth': 2.5, 'inflow_angle': 0.0310224029007628, 'angle_C': 142.26233647019157, 'angle_B': 86.99310435633798, 'angle_A': 130.74455917347046}, {'depth': 3.0, 'inflow_angle': 0.9585069617642907, 'angle_C': 143.34239768319304, 'angle_B': 87.30667735482527, 'angle_A': 129.35092496198172}, {'depth': 3.5, 'inflow_angle': 2.257195127174094, 'angle_C': 144.86105048772902, 'angle_B': 82.06294527705612, 'angle_A': 133.07600423521487}, {'depth': 4.0, 'inflow_angle': 3.012457615986692, 'angle_C': 144.22799123483506, 'angle_B': 82.57076988975719, 'angle_A': 133.20123887540774}, {'depth': 4.5, 'inflow_angle': 2.034000765858617, 'angle_C': 148.7812739304747, 'angle_B': 79.28280551599624, 'angle_A': 131.9359205535291}, {'depth': 5.0, 'inflow_angle': 5.002027691340873, 'angle_C': 151.24324931658398, 'angle_B': 76.84561861765701, 'angle_A': 131.91113206575903}, {'depth': 5.5, 'inflow_angle': 5.124801644269644, 'angle_C': 150.50021762018915, 'angle_B': 77.5331526041013, 'angle_A': 131.96662977570958}, {'depth': 6.0, 'inflow_angle': 3.6968066944355606, 'angle_C': 150.16358555851176, 'angle_B': 78.57429877511456, 'angle_A': 131.26211566637372}, {'depth': 6.5, 'inflow_angle': 2.4439198724445506, 'angle_C': 150.86938913983457, 'angle_B': 78.6135093805735, 'angle_A': 130.5171014795919}, {'depth': 7.0, 'inflow_angle': 3.3721550500024136, 'angle_C': 150.49353095859345, 'angle_B': 76.73029838016966, 'angle_A': 132.7761706612369}]",11.0
271,284,282,8.941260944454427,102.48002342566728,90.17566920671123,167.3443073676215,3.3866235886848304,10.971971160105257,2.795089138530315,11.041216978422103,"[{'depth': 2.0, 'inflow_angle': 7.250316851077891, 'angle_C': 137.8878810441816, 'angle_B': 90.00298924197557, 'angle_A': 132.10912971384286}, {'depth': 2.5, 'inflow_angle': 4.352297338652409, 'angle_C': 159.68342438906416, 'angle_B': 88.44633694344584, 'angle_A': 111.87023866749}, {'depth': 3.0, 'inflow_angle': 3.100126752035912, 'angle_C': 158.01543320822154, 'angle_B': 94.00054580189425, 'angle_A': 107.98402098988424}, {'depth': 3.5, 'inflow_angle': 6.9560962423471855, 'angle_C': 169.4307480310688, 'angle_B': 87.89841079522455, 'angle_A': 102.67084117370672}, {'depth': 4.0, 'inflow_angle': 8.490987236952162, 'angle_C': 171.52685068028674, 'angle_B': 86.70513415483974, 'angle_A': 101.76801516487357}, {'depth': 4.5, 'inflow_angle': 8.954519498910937, 'angle_C': 169.28853886505686, 'angle_B': 96.31887682572089, 'angle_A': 94.39258430922226}, {'depth': 5.0, 'inflow_angle': 9.745222134105198, 'angle_C': 174.53741774192767, 'angle_B': 90.81381843641681, 'angle_A': 94.64876382165549}, {'depth': 5.5, 'inflow_angle': 9.226827166787464, 'angle_C': 174.7902753872382, 'angle_B': 90.65683483544092, 'angle_A': 94.55288977732081}, {'depth': 6.0, 'inflow_angle': 12.487155342540618, 'angle_C': 173.13789505703627, 'angle_B': 91.4380286326308, 'angle_A': 95.42407631033288}, {'depth': 6.5, 'inflow_angle': 13.001470402211003, 'angle_C': 177.42637942179107, 'angle_B': 87.68240425804795, 'angle_A': 94.89121632016102}, {'depth': 7.0, 'inflow_angle': 14.788851423377922, 'angle_C': 175.0625372179635, 'angle_B': 87.96898134818623, 'angle_A': 96.96848143385024}]",11.0
316,340,218,,,,,,,,,,
389,206,194,,,,,,,,,,
310,314,241,3.0194848339733524,123.65266748925659,108.07564925951901,128.27168325122443,1.7813597043602145,3.6121746517889197,5.696383254592188,6.553444922903599,"[{'depth': 2.0, 'inflow_angle': 5.60545941014865, 'angle_C': 140.92589551390532, 'angle_B': 96.14017664139989, 'angle_A': 122.93392784469481}, {'depth': 2.5, 'inflow_angle': 0.16199790288487706, 'angle_C': 139.5123900365955, 'angle_B': 97.5643415885074, 'angle_A': 122.9232683748971}, {'depth': 3.0, 'inflow_angle': 1.9726070618145097, 'angle_C': 131.30047050572585, 'angle_B': 111.89562073478142, 'angle_A': 116.80390875949274}, {'depth': 3.5, 'inflow_angle': 1.8612536100441257, 'angle_C': 131.62959297510784, 'angle_B': 107.88621676037693, 'angle_A': 120.48419026451528}, {'depth': 4.0, 'inflow_angle': 3.9056601496309256, 'angle_C': 126.72976164553141, 'angle_B': 106.60382196445846, 'angle_A': 126.66641639001016}, {'depth': 4.5, 'inflow_angle': 1.2083644023493254, 'angle_C': 125.32625463036898, 'angle_B': 113.33374246385182, 'angle_A': 121.34000290577922}, {'depth': 5.0, 'inflow_angle': 1.242859062961205, 'angle_C': 125.28280941519618, 'angle_B': 110.71246260352672, 'angle_A': 124.00472798127711}, {'depth': 5.5, 'inflow_angle': 2.888273200834296, 'angle_C': 125.3128585939942, 'angle_B': 114.11267165313879, 'angle_A': 120.57446975286703}, {'depth': 6.0, 'inflow_angle': 4.065377972695009, 'angle_C': 123.50814788452959, 'angle_B': 109.05058632203011, 'angle_A': 127.44126579344028}, {'depth': 6.5, 'inflow_angle': 4.839804989791471, 'angle_C': 120.33578208661547, 'angle_B': 111.3679252942942, 'angle_A': 128.29629261909034}, {'depth': 7.0, 'inflow_angle': 5.462675410552482, 'angle_C': 121.1245524758986, 'angle_B': 110.1645758283433, 'angle_A': 128.71087169575813}]",11.0
342,155,199,,,,,,,,,,
349,195,229,,,,,,,,,,
257,283,281,,,,,,,,,,
